:Product: Daily Geomagnetic Data     2018_DGD.txt
:Issued: 0000 UT 01 Jan 2019
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Quarterly Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2018 08 11    11  1 2 3 2 4 2 2 3     8  1 2 2 2 3 2 2 2    11  2 2 2 2 3 2 2 4
2018 08 12     6  2 1 1 1 3 1 2 1     8  1 1 0 4 4 1 1 0     5  1 1 1 2 2 1 2 2
2018 08 13     6  0 2 1 2 3 2 2 1     6  1 1 1 3 4 0 0 0     5  1 2 1 2 2 1 1 1
2018 08 14     6  1 1 1 2 3 1 2 2     2  0 0 1 1 1 0 0 1     4  2 1 1 1 1 0 0 2
2018 08 15    12  2 2 3 3 3 2 3 3    30  1 1 4 6 6 4 3 2    14  2 1 2 3 4 3 3 4
2018 08 16    11  4 2 3 2 2 1 2 3    20  3 3 3 5 5 2 1 2    11  4 2 3 2 2 2 2 3
2018 08 17    14  4 4 2 2 2 1 3 3    13  3 4 4 3 1 0 2 2    13  3 4 3 2 1 1 3 3
2018 08 18    11  1 3 4 3 3 2 1 1    39  1 4 6 7 4 4 2 1    12  2 3 4 3 3 3 1 2
2018 08 19     8  3 2 2 2 2 1 2 2     7  1 2 2 3 1 2 2 1     8  2 2 2 2 1 2 2 2
2018 08 20    15  4 4 1 2 3 3 3 2    21  4 4 2 4 4 4 3 2    14  4 3 2 2 3 3 4 2
2018 08 21     6  2 1 2 2 2 1 1 2    10  2 2 4 4 2 1 0 1     7  3 2 2 2 1 1 1 2
2018 08 22     8  2 3 1 1 3 2 1 2     5  2 2 3 1 1 1 0 1     6  2 3 2 1 2 1 0 2
2018 08 23     5  2 1 2 1 2 1 2 1     2  1 1 2 0 1 0 1 0     5  2 1 2 1 1 1 1 1
2018 08 24     7  0 1 2 2 3 1 3 1    11  0 0 1 3 5 3 1 0     5  0 1 2 2 3 1 1 1
2018 08 25    12  1 1 3 3 3 2 2 4     6  2 2 1 1 1 1 2 3    11  1 1 2 2 2 1 3 4
2018 08 26    34  4 4 6 4 4 5 4 2    90  4 5 8 7 7 6 4 3    76  6 7 7 5 5 6 5 3
2018 08 27    20  3 3 3 4 4 4 4 2    56  2 2 6 6 6 7 5 1    26  2 3 3 4 4 6 5 3
2018 08 28     9  3 3 2 3 2 1 1 2    21  3 2 3 6 5 0 1 0    10  4 3 2 3 2 1 0 1
2018 08 29     7  2 2 2 2 2 2 2 2     5  1 1 1 3 1 1 1 1     6  2 2 1 1 1 2 1 2
2018 08 30     5  2 1 1 2 2 0 1 2     2  1 1 1 1 0 0 0 0     4  2 1 1 1 1 0 1 2
2018 08 31     4  1 1 1 1 2 1 2 0     4  1 1 0 2 2 2 2 0     5  2 1 1 1 1 2 2 1
2018 09 01     5  1 1 0 2 3 1 1 1     2  1 1 0 0 1 0 1 1     5  1 1 1 1 2 1 2 1
2018 09 02     5  1 2 2 1 1 1 1 2     2  1 1 1 0 0 1 1 1     5  2 2 2 1 1 1 1 2
2018 09 03     4  1 2 0 1 2 2 1 1     3  2 2 0 1 0 2 0 0     5  2 2 1 1 1 1 1 1
2018 09 04     9  2 3 3 1 2 1 2 3     7  1 3 3 2 1 1 1 1     9  2 3 3 1 1 2 2 3
2018 09 05     9  3 2 2 2 3 2 2 1    20  2 2 1 6 4 4 1 1    11  4 3 2 3 3 2 2 1
2018 09 06     5  2 1 2 1 1 1 1 2     7  1 1 3 2 3 2 1 0     6  2 1 2 1 1 1 1 2
2018 09 07     5  3 2 0 1 2 2 1 0     4  1 1 1 2 2 2 0 0     5  2 2 1 1 1 1 1 1
2018 09 08     5  0 1 2 2 2 1 1 2     2  1 0 1 0 1 0 0 1     5  1 1 3 1 1 1 1 2
2018 09 09     6  1 1 2 2 2 1 2 2     4  0 1 2 0 1 1 2 2     7  2 2 1 1 2 1 2 3
2018 09 10    15  1 1 1 3 3 3 3 5    23  0 0 2 3 5 5 5 3    21  1 1 1 2 3 5 5 5
2018 09 11    24  4 4 5 5 3 2 3 2    62  2 4 8 7 5 3 3 2    35  4 5 6 6 4 3 3 2
2018 09 12    10  2 2 1 2 2 3 3 3     9  2 1 1 4 3 2 2 1     9  2 2 1 2 2 2 2 3
2018 09 13    17  4 4 4 3 2 3 2 2    31  3 3 4 6 5 5 2 2    17  4 4 3 3 3 3 2 3
2018 09 14    11  4 3 2 2 2 2 2 2    24  5 4 3 5 4 2 3 2    16  5 4 3 2 2 2 3 3
2018 09 15     7  3 2 2 2 2 1 1 2     8  2 2 3 3 2 1 1 1     8  3 3 2 2 2 1 1 2
2018 09 16     5  2 1 2 2 1 1 1 1     4  2 1 2 2 2 0 1 0     6  2 2 2 2 1 0 1 2
2018 09 17     9  3 2 2 2 2 2 2 3     8  2 3 3 2 2 2 1 1    11  3 3 2 2 2 2 3 3
2018 09 18     5  2 1 2 2 1 1 1 1    12  2 1 3 5 3 1 1 1     6  3 2 2 2 1 1 1 1
2018 09 19     4  1 2 2 1 1 1 1 0     4  1 1 3 2 0 0 0 0     4  1 3 2 1 0 1 0 0
2018 09 20     2  1 0 0 1 1 0 1 0     1  1 0 0 1 0 0 0 0     2  1 0 0 1 1 0 0 0
2018 09 21     6  0 1 0 1 1 1 2 4     3  0 1 0 0 2 1 1 2     9  1 1 1 1 1 1 2 5
2018 09 22    20  4 3 3 4 4 2 3 4    30  5 2-1-1 6 3 3 3    27  5 4 3 4 4 3 4 4
2018 09 23     9  3 2 2 3 2 1 2 2    24  3 4 4 5 5 3 2 1    12  4 3 2 3 3 2 2 2
2018 09 24     5  2 2 2 1 2 0 1 2     9  2 2 2 4 2 1 1 2     7  3 3 2 2 2 1 2 2
2018 09 25     7  2 2 2 2 2 2 2 2     5  1 2 1 2 2 2 1 1    11  2 3 1 3 3 2 3 3
2018 09 26     6  1 2 2 1 2 2 1 2    10  1 0 4 3 3 2 1 2     8  1 2 3 1 2 2 1 3
2018 09 27     6  1 3 2 2 2 1 0 2     8  1 1 3 4 3 1 0 0     7  2 2 3 2 2 1 1 2
2018 09 28     8  2 3 3 1 2 1 1 2     7  2 3 4 0 0 0 1 2     8  3 3 3 1 1 0 1 2
2018 09 29     9  2 3 2 2 2 2 1 3    18  1 1 4 5 5 2 1 2    10  2 3 2 3 2 2 1 3
2018 09 30     4  1 2 0 1 1 1 2 2     3  1 1 0 1 2 0 1 1    19  1 3 0 1 1 0 2 2
2018 10 01     6  0 1 1 2 3 2 1 2    19  0 1 2 4 6 4 2 1     9  0 2 1 2 4 2 2 2
2018 10 02     6  3 2 2 1 2 1 1 1     4  2 1 2 1 1 1 1 0     8  4 3 2 1 2 1 2 0
2018 10 03     4  0 1 0 1 1 2 2 2     2  0 0 1 0 0 1 1 2     6  1 1 1 2 1 1 2 3
2018 10 04     4  1 0 1 0 2 2 2 1     4  1 0 0 0 2 3 1 1     4  1 0 1 0 1 2 1 1
2018 10 05     8  3 2 2 1 3 1 1 2     6  1 2 1 3 2 1 1 1     9  3 3 2 2 3 1 1 2
2018 10 06     5  3 1 2 2 1 0 1 0     6  1 1 2 4 2 0 0 0     6  3 1 2 2 1 0 1 0
2018 10 07    13  0 0 2 3 3 4 4 3    44  0 0 2 6 7 6 4 3    24  0 1 1 3 4 5 5 5
2018 10 08    16  4 4 3 3 3 3 1 2    53  3 5 6 6 7 5 2 1    21  4 4 4 3 4 3 2 2
2018 10 09    14  2 3 3 3 3 3 3 3    39  2 3 5 6 6 5 3 3    17  3 3 3 4 3 4 3 3
2018 10 10    12  3 1 1 2 3 3 4 2    33  2 1 1 6 6 5 4 3    18  4 1 1 2 3 3 5 3
2018 10 11     7  3 2 2 1 2 1 2 1    13  2 2 4 3 4 2 2 1     9  3 3 3 2 2 2 2 1
2018 10 12     4  1 2 2 1 1 1 1 1    10  1 1 3 5 2 1 0 1     5  1 2 2 1 1 1 1 1
2018 10 13    12  1 2 1 1 2 4 3 4    15  1 1 1 0 1 6 3 3    14  1 3 1 1 2 5 4 4
2018 10 14     4  1 1 1 1 2 2 1 1     8  2 1 1 4 3 1 0 1     6  2 1 1 2 2 2 1 2
2018 10 15     7  3 1 1 2 2 2 2 2     9  2 1 1 3 3 3 2 2    10  3 2 2 2 2 3 3 3
2018 10 16     4  2 0 1 1 2 2 1 0     4  2 0 0 3 2 1 1 0     5  2 1 1 2 2 2 1 1
2018 10 17     3  0 1 2 0 1 1 1 1     2  0 0 3 0 0 0 0 0     3  0 1 2 0 0 0 0 1
2018 10 18     0  0 0 0 0 0 0 1 0     0  0 0 1 0 0 0 0 0     2  1 1 1 0 0 0 0 0
2018 10 19     1  0 0 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     2  0 0 0 0 0 0 0 1
2018 10 20     0  0 0 0 0 0 0 1 0     0  0 0 0 0 0 0 0 0     2  1 0 0 0 0 0 0 0
2018 10 21     4  0 0 1 2 2 2 1 1     9  0 0 0 5 3 2 1 0     4  0 0 0 2 2 2 1 1
2018 10 22     5  2 2 1 1 2 2 1 1     6  1 1 1 3 3 1 0 1     6  3 2 2 1 1 1 1 1
2018 10 23     3  1 1 1 1 1 1 1 0     5  0 1 1 4 2 1 0 0     4  1 2 1 1 1 1 0 0
2018 10 24     2  1 0 1 1 1 0 1 1     1  0 0 0 2 1 0 0 0     3  1 0 1 2 0 0 1 1
2018 10 25     5  1 1 1 2 1 2 2 1     3  0 0 0 3 1 1 1 1     6  0 2 1 2 1 2 2 2
2018 10 26     6  2 1 1 1 2 2 2 2     4  0 0 0 3 2 1 1 1     6  2 1 1 2 2 1 2 2
2018 10 27     3  0 2 2 1 0 2 1 0     2  1 0 1 2 1 0 0 0     4  1 2 2 2 0 0 1 0
2018 10 28     2  1 0 1 0 1 2 1 0     0  0 0 1 0 0 0 0 0     4  2 1 1 1 0 1 1 0
2018 10 29     1  0 0 0 0 1 1 0 0     0  0 0 0 0 0 0 0 0     3  1 1 1 1 1 1 1 0
2018 10 30     4  2 2 0 0 1 2 1 1     0  0 0 0 0 0 0 0 0     4  2 2 1 1 0 1 1 1
2018 10 31     3  1 0 0 1 2 1 1 1     2  0 0 0 0 2 2 1 0     4  1 0 0 1 1 1 1 2
2018 11 01     5  1 1 2 2 1 1 2 1     7  0 0 3 4 2 1 0 0     5  1 1 2 2 1 1 1 1
2018 11 02     3  2 1 0 1 1 1 1 0     3  0 0 2 3 1 0 0 0     4  2 1 1 2 1 1 1 0
2018 11 03     3  2 2 0 0 1 0 0 1     0  0 0 0 0 0 0 0 0     4  2 2 1 0 0 0 0 1
2018 11 04     7  1 1 1 1 2 2 3 3    12  0 0 0 1 3 4 4 4    16  1 1 1 1 1 3 5 5
2018 11 05    22  4 5 4 4 3 2 3 2    44  3 5 6 6 5 5 4 2    35  4 6 5 5 3 3 4 3
2018 11 06     9  2 4 2 2 2 1 1 2    15  1 2 4 5 4 1 1 1    10  2 4 2 2 2 1 1 3
2018 11 07     8  2 3 3 1 2 1 2 2    12  2 2 5 1 3 2 1 1    10  3 3 3 1 1 1 2 3
2018 11 08    12  3 4 2 4 2 1 1 1    13  0 1 2 6 2 2 1 0    11  3 4 2 3 1 1 2 1
2018 11 09     6  1 0 1 2 1 2 2 3    15  1 1 1 4 4 3 3 4    10  1 1 1 2 1 3 3 4
2018 11 10    10  2 2 1 3 2 2 3 3    18  2 1 2 6 3 2 2 3    13  2 2 2 4 2 1 3 4
2018 11 11     5  2 1 2 1 1 1 2 2     7  3 2 2 3 2 0 1 1     7  3 2 2 1 1 1 2 2
2018 11 12     6  2 2 2 1 2 1 2 2    10  1 3 4 3 2 1 1 2     9  2 3 3 1 2 1 2 2
2018 11 13     3  1 1 1 1 1 1 1 0     2  1 0 2 2 0 0 0 0     4  2 1 1 1 1 0 1 0
2018 11 14     2  0 0 1 1 1 1 1 0     1  0 0 0 0 2 1 0 0     3  0 1 1 1 1 1 1 0
2018 11 15     1  0 0 0 0 1 1 0 0     0  0 0 0 0 0 1 0 0     2  0 0 0 0 0 1 0 0
2018 11 16     1  0 0 1 0 0 2 0 0     1  0 0 0 0 1 1 0 0     2  0 0 1 0 0 1 0 0
2018 11 17     1  0 0 1 0 0 1 0 0     0  0 0 0 0 0 0 0 0     1  0 0 1 0 0 0 0 0
2018 11 18     2  0 1 0 0 1 1 1 2     2  0 0 0 2 2 0 0 0     3  0 1 0 1 1 1 0 1
2018 11 19     2  1 1 1 0 0 0 1 1     1  0 0 1 0 0 1 0 0     4  1 2 1 1 0 1 1 1
2018 11 20     5  2 3 1 1 1 1 1 1     5  0 3 1 3 1 0 1 0     6  2 3 1 1 0 1 1 1
2018 11 21     3  1 2 1 1 1 1 0 1     2  0 2 1 2 0 0 0 0     5  1 3 1 1 1 0 0 1
2018 11 22     1  1 0 0 0 1 1 0 0     1  0 0 1 1 0 0 0 0     3  1 1 1 1 1 1 1 0
2018 11 23     1  0 1 0 1 0 0 0 0     0  0 0 0 1 0 0 0 0     3  1 1 1 1 0 0 1 1
2018 11 24     2  0 0 1 0 1 1 1 2     1  0 0 1 0 1 1 0 0     4  1 0 1 1 1 2 1 1
2018 11 25     3  2 1 0 1 1 1 0 1     3  0 0 0 2 3 0 0 0     3  1 1 0 1 1 1 0 1
2018 11 26     2  1 0 0 0 1 1 0 1     0  0 0 0 0 0 0 0 0     2  1 1 0 0 0 0 0 1
2018 11 27     4  0 1 0 1 2 2 2 2     2  0 0 0 1 1 2 1 1     5  1 1 0 1 2 2 2 2
2018 11 28     2  1 1 0 0 0 1 1 1     1  0 0 0 1 0 0 2 0     3  1 1 0 0 0 1 1 1
2018 11 29     2  2 0 0 0 1 1 0 1     1  0 0 0 2 0 0 0 0     3  2 0 0 0 0 0 0 1
2018 11 30     2  1 0 0 1 1 1 0 0     0  0 0 0 0 0 0 0 0     3  1 0 0 0 1 0 0 0
2018 12 01     4  0 1 0 0 2 3 2 1     6  0 1 0 1 3 3 2 1     8  1 1 1 1 2 3 3 2
2018 12 02     9  2 2 3 2 2 2 2 3    15  1 1 3 5 4 3 2 1    12  2 2 3 2 2 3 3 4
2018 12 03     9  2 1 2 1 3 3 3 2    21  1 1 2 5 5 5 2 1    10  3 2 2 1 3 3 3 2
2018 12 04     5  3 2 1 1 1 1 1 1     4  2 2 1 2 0 1 1 0     8  3 3 2 2 1 2 1 2
2018 12 05     3  2 2 0 0 1 1 0 2     3  0 0 0 2 3 1 0 0     5  2 2 0 1 1 1 0 2
2018 12 06     3  2 1 1 0 1 2-1 0     6  0 1 2 2 4 1 0 0     5  2 2 1 1 2 1 1 1
2018 12 07     8  1 2 3 2 2 1 3 2     9  0 1 2 3 4 2 2 2    10  1 3 3 2 2 2 3 2
2018 12 08    10  2 3 3 2 2 3 2 1    18  2 2 4 4 3 5 2 2    10  2 3 3 2 2 3 2 2
2018 12 09     6  1 1 1 1 1 2 2 3     8  1 1 0 2 1 3 1 4     9  2 1 1 1 1 3 3 4
2018 12 10     8  2 2 3 3 2 1 1 1    20  4 2 5 4 4 3 1 1    11  3 3 3 3 2 2 2 2
2018 12 11     7  1 1 3 3 1 2 2 1    12  0 1 4 5 1 2 2 1     7  1 2 3 2 0 2 2 2
2018 12 12     3  1 1 1 1 1 2 1 0     2  0 0 0 1 2 1 1 0     4  2 1 1 1 1 1 2 1
2018 12 13     2  0 1 0 0 1 2 1 0     1  0 0 0 1 0 1 0 0     3  0 1 0 0 0 1 0 0
2018 12 14     3  1 1 0 1 1 1 1 1     0  0 0 0 1 0 0 0 0     3  1 1 0 1 0 1 1 1
2018 12 15     1  0 0 0 0 1 1 1 0     0  0 0 0 0 0 0 0 0     2  1 0 0 0 0 0 1 0
2018 12 16     1  0 0 1 0 1 1 0 0     1  0 0 1 1 0 0 0 0     2  1 0 1 0 0 1 0 1
2018 12 17     5  1 1 2 1 1 2 2 2     2  0 0 0 0 2 0 1 1     6  1 1 2 1 1 2 2 2
2018 12 18     5  2 1 1 1 2 2 2 1     9  2 1 0 3 4 3 2 0     7  3 1 1 1 2 2 3 1
2018 12 19     4  0 1 1 2 1 2 1 2     5  0 0 2 3 2 1 1 1     6  1 1 1 2 1 2 1 2
2018 12 20     9  3 2 3 1 2 2 2 2    10  1 2 4 2 3 2 1 2    12  3 3 3 2 1 2 3 3
2018 12 21     4  1 1 1 1 2 1 1 1     1  0 0 1 1 0 0 0 0     5  2 2 1 1 1 0 1 1
2018 12 22     3  1 1 0 1 1 1 1 1     0  0 0 0 0 0 0 1 0     3  1 1 0 1 0 0 1 1
2018 12 23     3  1 0 0 0 2 2 1 0     0  0 0 0 1 0 0 0 0     3  1 0 0 0 1 0 1 1
2018 12 24     3  1 0 0 1 2 2 1 1     1  0 0 0 0 1 0 1 0     4  1 0 0 1 1 1 1 1
2018 12 25     4  1 2 0 0 2 2 1 1     2  0 0 0 0 2 2 0 0     4  1 2 0 0 1 1 1 1
2018 12 26     2  0 1 0 1 1 1 1 0     4  0 0 0 1 4 1 0 0     3  1 0 0 1 1 1 1 0
2018 12 27     5  2 2 0 0 2 2 1 2     1  0 0 1 0 0 0 0 1     5  1 2 1 0 0 1 1 3
2018 12 28    19  4 4 4 3 3 2 3 3    26  1 3 5 5 5 4 3 2    24  4 4 5 3 4 3 4 3
2018 12 29     9  2 2 3 2 3 2 2 2    20  2 2 5 5 4 3 2 0    11  3 3 3 2 3 2 2 2
2018 12 30     7  1 3 2 2 2 2 1 1    13  1 1 4 4 4 2 1 1    10  1 3 3 2 2 3 2 2
2018 12 31     7  3 2 2 2 2 1 1 1    14  1 1 1 5 5 1 0 1     7  3 2 2 2 2 1 0 1
