:Product: Daily Geomagnetic Data     2017_DGD.txt
:Issued: 2130 UT 07 Apr 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#                        2017 Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2017 08 11     7  1 2 2 1 2 2 3 2     5  1 2 1 2 1 2 2 1     7  2 2 1 1 1 2 3 2
2017 08 12    12  3 3 2 2 3 1 3 3     9  3 3 3 1 2 1 2 2    11  3 3 2 2 2 1 3 3
2017 08 13     9  2 3 2 2 2 3 2 1     7  2 2 3 2 2 1 1 1     7  2 2 2 2 2 2 2 2
2017 08 14     5  2 1 0 2 2 1 1 2     4  2 1 0 1 2 0 1 2     5  2 1 1 1 2 1 1 2
2017 08 15     3  1 1 0 1 2 1 1 1     2  1 1 0 0 0 0 1 1     4  1 1 1 1 1 0 1 1
2017 08 16     5  2 1 1 2 2 1 1 2     5  1 1 2 1 2 1 1 2     6  2 1 1 2 1 1 1 2
2017 08 17    20  2 2 5 4 4 3 3 3    59  3 2 6 7 7 5 4 3    29  3 2 5 5 5 3 4 4
2017 08 18    20  5 3 2 3 4 3 4 2    40  3 3 4 5 6 5 6 2    21  4 3 2 3 4 3 5 3
2017 08 19    23  4 4 4 3 3 4 3 4    57  5 4 7 6 6 5 3 3    31  5 4 5 4 4 5 3 4
2017 08 20    21  4 5 3 4 3 3 2 3    32  4 5 6 5 4 3 2 2    22  5 5 3 3 2 3 3 3
2017 08 21    13  2 3 3 4 3 1 2 3    16  3 2 5 4 3 1 2 2    11  3 2 3 3 2 1 2 3
2017 08 22    16  5 4 3 2 3 1 2 2    37  6 5 5 5 5 3 1 2    23  6 5 3 2 3 2 2 3
2017 08 23    17  3 4 3 3 4 3 3 2    72  3 4 5 5 7 8 5 2    25  3 4 4 3 5 4 5 3
2017 08 24    16  4 4 4 3 3 2 1 1    38  2 5 6 6 6 2 0 0    11  3 3 3 3 3 2 1 1
2017 08 25     7  1 2 2 2 3 2 1 1     6  1 1 1 3 3 1 1 1     5  1 1 2 2 2 1 1 2
2017 08 26     5  1 1 2 1 2 2 2 1     2  0 1 1 0 1 2 1 0     5  1 1 2 1 1 2 1 1
2017 08 27     6  2 1 0 2 2 2 2 2    14  2 1 0 4 2 5 3 2    10  3 1 1 3 2 3 3 3
2017 08 28     3  1 1 0 2 1 1 1 0     6  2 1 1 3 3 1 0 0     4  1 1 1 1 1 1 0 1
2017 08 29    10  1 2 2 1 2 2 4 3     6  1 1 2 0 3 1 3 1    10  1 2 2 1 1 2 4 3
2017 08 30     5  2 2 2 2 2 0 1 0     4  1 1 3 2 1 0 0 0     5  2 2 2 1 1 0 0 0
2017 08 31    20  2 3 4 5 4 3 3 2    42  2 2 5 6 6 6 3 3    31  2 3 5 5 5 4 4 3
2017 09 01    17  4 3 2 4 4 2 2 3    29  3 3 3 6 6 3 2 2    19  4 3 2 4 4 2 2 4
2017 09 02    25  4 5 5 3 3 3 3 3    32  4 5 5 6 3 4 2 2    26  4 5 5 3 2 3 3 3
2017 09 03    10  3 3 1 2 3 2 2 2    17  3 2 1 5 4 4 1 1     9  3 3 1 2 3 2 2 2
2017 09 04    16  4 3 2 2 2 2 4 4    16  2 1 2 5 4 3 2 3    18  4 3 2 2 2 2 4 5
2017 09 05    11  3 3 3 2 2 3 2 2    14  3 3 3 4 4 1 1 1    12  4 3 3 2 2 3 2 2
2017 09 06    18  2 2 2 4 5 3 1 4     9  1 1 2 4 2 2 0 3    11  2 2 2 3 3 2 0 4
2017 09 07    23  2 3 3 3 4 3 2 6    60  3 5 7 7 4 3 3 6    38  3 4 4 4 3 2 2 8
2017 09 08    50  6 4 4 4 7 5 4 4   110  6 6 4 5 9 7 6 4    96  8 5 4 5 8 7 6 5
2017 09 09     6  3 2 2 1 1 1 1 1     3  3 1 1 1 1 0 0 0     6  3 2 2 1 1 1 1 1
2017 09 10    12  1 1 1 1 2 5 3 3     3  0 0 0 0 0 1 1 3     7  1 0 1 1 1 3 2 4
2017 09 11     8  3 2 2 1 3 1 2 2    19  4 3 4 4 4 3 2 2    11  3 3 2 2 3 2 3 3
2017 09 12    16  3 2 3 3 2 2 3 5    25  4 2 3 5 5 4 3 3    18  3 2 3 2 3 2 4 5
2017 09 13    13  5 3 3 2 2 2 1 1    30  4 4 7 4 3 1 0 0    15  5 3 4 2 2 2 1 0
2017 09 14    19  2 2 1 2 3 5 5 3    38  2 1 2 5 6 6 4 5    25  2 2 1 2 4 6 5 4
2017 09 15    30  6 4 4 3 4 2 4 4    51  3 5 5 6 6 6 4 4    36  6 4 5 3 4 3 5 5
2017 09 16    23  5 5 2 3 3 3 2 4    52  5 6 5 6 6 5 3 3    30  5 6 3 3 4 4 3 4
2017 09 17    13  4 3 2 2 3 3 2 2    39  4 3 2 6 6 6 3 2    17  3 4 2 3 4 4 2 2
2017 09 18    21  4 4 5 3 3 3 2 3    51  4 3 7 7 5 4 2 2    22  4 4 5 4 3 3 2 3
2017 09 19     6  2 1 1 2 2 1 2 2    11  1 1 0 4 3 2 2 4     8  3 2 1 2 2 2 3 3
2017 09 20     8  3 3 2 2 2 1 2 1    19  3 3 3 5 5 2 1 0    10  3 3 2 2 2 1 2 1
2017 09 21     7  1 2 3 2 2 1 1 2     9  1 1 4 3 4 0 0 0     7  1 2 3 2 2 0 1 2
2017 09 22     5  1 1 1 1 1 2 2 2     6  1 1 3 1 2 2 2 1     5  1 1 1 1 1 1 2 2
2017 09 23     4  1 1 1 1 1 2 2 1     5  1 1 3 2 2 0 1 1     5  1 2 1 1 1 1 2 2
2017 09 24     5  1 2 0 1 1 2 2 2     7  0 1 0 3 3 3 1 2     6  1 2 1 1 1 1 2 3
2017 09 25     5  3 2 1 1 1 1 1 0     2  3 1 0 0 0 0 0 0     5  3 2 1 1 0 1 0 1
2017 09 26     3  0 0 2 1 1 1 1 2     2  0 1 1 0 0 0 0 2     4  1 1 2 1 1 0 0 2
2017 09 27    24  3 2 4 4 3 2 5 5    47  2 1 5 6 6 6 4 5    37  3 2 5 4 4 3 6 6
2017 09 28    41  5 6 6 4 3 3 3 5    72  5 6 8 5 5 6 3 3    55  6 7 7 5 4 4 4 5
2017 09 29     8  3 2 3 2 2 1 1 2    29  3 2 4 6 6 3 1 2    12  3 2 3 3 3 2 2 2
2017 09 30    11  2 3 3 2 2 3 2 3    36  2 3 5 4 6 6 3 3     5  2 3 4 2 3 4 2 3
2017 10 01    10  3 1 3 2 2 2 2 3    23  3 1 4 6 4 3 2 2    11  3 2 3 2 2 3 2 3
2017 10 02     6  2 3 3 2 1 0 0 1    13  2 3 2 4 5 1 0 0     7  2 4 2 2 2 1 0 0
2017 10 03     8  2 3 4 2 1 0 1 1     9  2 3 4 3 0 1 0 1     8  3 3 3 2 0 1 1 1
2017 10 04     5  2 3 0 1 2 0 1 2     2  1 1 0 0 1 0 1 1     5  2 3 1 1 1 0 1 2
2017 10 05     6  3 1 0 1 1 1 2 3     3  1 0 0 0 0 2 1 2     7  3 1 1 1 1 1 1 3
2017 10 06     6  2 2 2 1 2 2 1 2    11  2 3 2 2 4 3 1 1     9  3 3 2 2 2 2 1 2
2017 10 07     5  1 1 1 1 2 2 2 2     3  1 0 0 0 1 2 1 2     5  2 1 1 1 1 1 2 1
2017 10 08     3  1 2 0 0 1 2 1 0     2  1 2 0 2 0 0 0 0     4  1 2 1 0 1 1 1 1
2017 10 09     2  2 0 0 1 1 1 1 0     0  0 0 0 0 0 0 0 0     3  2 1 1 1 0 0 0 1
2017 10 10    13  0 1 0 1 1 1 6 3     1  0 0 0 2 1 0 0 0     4  0 0 0 1 1 0 1 3
2017 10 11    21  3 4 4 4 4 3 3 3    58  2 5 6 7 6 6 3 3    30  3 4 5 4 4 5 4 4
2017 10 12    20  4 3 3 4 4 3 2 4    65  4 4 7 6 7 6 2 3    29  5 4 4 4 5 4 3 4
2017 10 13    26  3 4 2 4 4 4 4 5    52  3 3 2 6 7 6 5 4    42  3 5 2 4 6 5 6 5
2017 10 14    26  5 4 4 5 4 2 2 3    49  4 5 6 7 5 4 3 2    31  5 4 5 5 4 4 3 3
2017 10 15    21  4 5 3 4 4 3 2 1    49  3 5 5 7 6 5 2 2    26  4 5 3 4 5 4 3 1
2017 10 16     6  1 2 1 2 2 1 3 1    10  1 2 3 4 3 1 2 1     9  2 3 2 2 2 1 3 2
2017 10 17     4  1 1 2 2 2 1 1 0    13  2 1 2 5 4 2 1 0     6  2 1 2 2 2 1 1 1
2017 10 18     4  1 1 2 1 1 1 1 2     7  0 0 2 4 3 0 1 1     5  1 2 1 1 1 0 1 2
2017 10 19     9  3 2 2 2 3 2 2 2    22  2 2 5 4 4 5 2 2    12  3 3 2 2 2 3 3 3
2017 10 20     5  3 2 2 1 1 1 0 1    21  2 2 5 5 5 1 0 1     8  4 2 2 2 2 1 1 2
2017 10 21    13  2 2 2 1 2 5 2 3    11  0 0 3 4 4 2 2 1    10  2 2 2 2 2 3 3 3
2017 10 22     6  3 1 1 1 2 1 1 2     3  2 2 1 1 1 0 0 1     6  3 2 1 1 1 1 1 2
2017 10 23     3  2 0 1 1 1 1 1 1     7  1 1 2 4 3 0 0 0     6  3 1 2 2 1 1 1 1
2017 10 24    13  1 2 2 2 4 3 2 4    28  1 0 2 4 6 6 3 3    18  2 1 2 3 4 5 3 4
2017 10 25    15  3 4 4 3 2 2 2 3    35  4 4 7 5 3 2 2 2    21  4 4 5 3 2 3 3 4
2017 10 26    16  4 2 4 4 3 3 2 1    41  2 2 5 6 6 6 3 2    20  4 2 4 4 4 4 3 1
2017 10 27     4  2 2 1 1 1 0 2 1     4  1 1 1 3 1 0 1 1     5  3 1 1 1 0 0 2 2
2017 10 28     5  1 2 2 2 1 1 1 1    13  1 1 5 5 1 0 0 0     6  2 2 2 2 1 1 1 1
2017 10 29     3  1 2 0 1 2 1 1 0     2  1 1 1 2 1 0 0 0     4  1 2 1 1 1 1 1 0
2017 10 30     1  0 1 0 0 1 0 0 0     0  0 0 0 0 0 0 0 0     3  1 1 0 0 1 0 0 1
2017 10 31     2  1 0 0 0 2 1 0 0     1  0 0 0 2 1 0 0 0     3  1 0 0 1 2 0 0 0
2017 11 01     2  1 0 0 1 1 1 1 1     2  0 0 0 1 3 0 0 0     4  1 0 1 1 1 1 1 1
2017 11 02    12  3 2 1 1 2 1 4 4     3  0 0 2 2 1 0 1 1     8  3 2 2 1 2 1 2 3
2017 11 03     7  3 2 2 2 3 0 1 1    15  2 1 2 5 5 1 0 1     9  4 2 2 2 3 1 1 1
2017 11 04     2  1 1 0 1 1 1 0 1     3  0 0 1 1 2 2 1 0     4  1 1 1 1 1 1 1 1
2017 11 05     1  1 0 0 0 1 0 0 0     0  0 0 0 0 0 0 0 0     3  1 1 0 0 0 0 1 1
2017 11 06     0  0 0 0 0 0 0 1 0     0  0 0 0 0 0 0 0 0     2  1 0 0 0 0 0 1 0
2017 11 07    26  1 3 4 4 3 3 4 6    42  0 2 5 6 4 5 6 5    36  1 3 4 5 4 4 6 6
2017 11 08    39  6 5 3 5 5 4 3 4    82  5 6 6 7 7 7 3 3    47  6 6 3 5 5 5 3 5
2017 11 09    11  3 3 2 2 2 3 2 3    45  3 3 6 6 6 5 4 3    20  4 4 3 3 3 4 3 4
2017 11 10    13  3 3 3 2 3 3 2 3    53  3 3 6 7 6 6 2 2    21  3 4 4 4 4 4 3 3
2017 11 11     7  3 2 3 2 1 1 1 1    16  3 2 3 5 4 2 1 1     8  3 2 2 2 2 1 1 1
2017 11 12     4  0 2 1 1 1 1 1 2     4  1 1 0 3 2 0 0 1     6  1 2 1 1 1 1 2 2
2017 11 13     6  2 2 2 2 1 2 1 1     9  0 1 2 4 3 3 1 0     6  2 2 2 2 1 2 1 1
2017 11 14     8  3 3 2 2 1 2 1 2    18  1 1 4 5 3 4 3 2    11  3 3 3 2 1 3 2 3
2017 11 15    11  1 3 3 3 2 3 2 2    27  1 2 5 6 3 5 2 2    14  2 3 3 4 2 4 3 2
2017 11 16    11  4 3 3 2 2 1 1 2    15  2 3 4 5 2 1 1 2    14  4 4 3 2 1 1 2 3
2017 11 17     5  2 2 2 2 1 1 0 1    19  1 2 4 6 4 1 0 1     6  1 2 2 3 2 0 0 1
2017 11 18     5  2 1 2 2 1 1 1 1    13  0 1 5 4 3 2 1 0     6  2 2 2 2 2 1 1 2
2017 11 19     5  1 2 3 1 1 0 1 1     2  0 1 2 1 0 0 0 0     5  1 2 3 1 0 0 1 1
2017 11 20     7  1 0 0 0 1 2 3 4     2  0 0 0 1 0 0 2 1     8  1 1 0 1 1 2 3 4
2017 11 21    16  3 4 4 3 2 2 3 3    33  2 5 6 5 4 4 3 3    28  4 5 5 4 3 3 4 4
2017 11 22     7  2 2 2 2 2 1 2 2    25  2 2 5 5 5 4 2 2    10  3 3 2 2 3 2 3 2
2017 11 23     7  2 1 2 3 2 1 1 2    13  0 0 3 4 5 2 1 1     9  2 1 3 3 2 2 2 3
2017 11 24     8  2 2 3 0 1 1 3 3     6  2 2 2 2 0 0 2 3    10  3 2 2 1 0 0 3 3
2017 11 25     4  3 2 1 1 0 0 0 0     5  3 1 2 3 0 0 0 0     7  4 3 2 1 0 1 1 0
2017 11 26     2  0 1 0 0 1 1 2 1     1  0 0 0 1 1 0 0 0     3  0 0 1 1 1 1 1 1
2017 11 27     4  1 1 2 0 2 1 2 1     1  0 0 0 0 1 0 1 0     5  2 1 1 1 2 1 2 1
2017 11 28     6  3 2 1 1 2 1 1 1    11  2 1 1 5 4 0 1 0     8  4 2 2 2 2 1 1 1
2017 11 29     4  1 1 2 1 0 1 1 2     3  0 0 3 1 0 0 0 1     5  1 1 2 1 0 1 1 2
2017 11 30     9  2 4 1 1 2 2 2 2    11  1 2 0 3 4 4 1 1    11  2 4 1 1 3 3 2 3
2017 12 01     5  0 3 1 1 1 2 2 1     5  1 1 1 1 3 2 1 0     8  2 3 2 1 1 3 2 1
2017 12 02     2  0 0 0 0 1 2 1 1     3  0 0 1 0 0 3 1 0     4  1 0 1 1 0 3 1 1
2017 12 03     1  0 0 0 0 0 1 0 1     0  0 0 0 1 0 0 0 0     2  0 0 0 1 0 0 0 1
2017 12 04     6  0 0 2 2 2 3 2 2    15  0 0 1 3 5 3 4 3    11  0 0 2 1 2 4 3 4
2017 12 05    21  3 3 4 4 4 4 3 3    55  3 2 5 7 7 5 4 3    29  4 3 4 5 5 4 4 4
2017 12 06    13  3 4 3 2 2 2 3 2    22  2 4 4 5 4 4 2 1    16  3 4 3 2 3 3 3 2
2017 12 07     9  2 2 2 1 3 3 2 2    12  1 1 3 1 5 3 2 1    10  2 3 2 1 3 3 2 2
2017 12 08     4  1 1 2 1 1 1 1 1     8  2 1 2 3 4 1 0 0     5  2 2 2 1 2 1 1 1
2017 12 09     3  1 1 0 0 1 2 1 1     2  0 0 0 1 2 2 0 0     4  1 1 1 1 1 1 1 0
2017 12 10     2  0 0 2 0 1 0 0 1     2  0 0 2 0 2 0 0 1     3  0 0 1 0 1 1 0 1
2017 12 11     8  0 2 3 2 3 2 2 1    25  0 1 3 6 6 3 2 1    10  1 3 3 2 3 2 3 1
2017 12 12     9  2 2 2 3 1 2 3 2    19  0 3 3 5 4 3 4 2    13  3 3 3 3 2 3 4 3
2017 12 13     4  0 0 1 1 2 2 2 2     9  1 0 2 4 4 2 1 0     7  1 1 2 1 2 2 3 3
2017 12 14     2  2 0 0 0 1 1 1 1     3  1 0 0 2 3 0 0 0     5  3 1 1 1 1 0 1 1
2017 12 15     3  0 1 0 1 2 1 1 1     2  0 0 0 1 2 1 1 1     5  1 1 1 1 2 1 1 2
2017 12 16     3  0 1 1 0 1 1 1 2     3  0 0 1 2 2 0 0 1     4  0 0 1 1 1 1 1 2
2017 12 17    16  2 2 4 3 3 3 4 3    40  0 2 4 6 5 6 5 4    24  3 3 5 3 3 4 5 4
2017 12 18    12  3 3 4 3 2 2 1 1    37  3 5 7 5 4 2 2 1    17  4 4 4 3 3 2 2 1
2017 12 19     4  1 1 1 0 1 2 2 2     2  0 0 0 0 1 2 1 1     6  1 1 1 1 1 2 2 3
2017 12 20     3  1 2 1 1 1 1 1 0    12  2 2 4 5 2 1 0 0     5  2 2 1 2 1 1 2 0
2017 12 21     2  0 1 0 1 1 1 0 0     6  0 0 1 4 3 1 0 0     3  1 1 1 1 1 1 0 0
2017 12 22     2  0 1 1 0 0 1 1 1     0  0 0 0 0 1 0 0 0     2  0 1 1 0 0 0 0 1
2017 12 23     4  1 2 1 2 1 0 2 1     6  0 1 1 4 3 0 0 0     5  1 3 2 2 1 0 1 1
2017 12 24     9  1 2 2 2 3 2 2 3    32  0 1 2 7 5 5 2 1    12  1 2 2 3 3 3 3 3
2017 12 25     9  3 1 3 3 1 1 2 2    10  2 1 4 3 1 3 2 1    10  3 1 2 3 1 2 3 2
2017 12 26     8  2 2 1 2 1 1 3 3    11  1 3 1 4 2 2 3 2    11  3 3 1 2 1 1 4 3
2017 12 27     6  2 2 2 1 1 2 1 2     8  2 1 1 3 2 3 1 2     7  2 3 2 1 1 2 2 2
2017 12 28     2  0 0 2 1 1 1 0 1     4  0 0 2 2 2 2 0 0     5  1 1 2 1 2 2 1 2
2017 12 29     3  1 1 0 1 1 1 2 1     2  0 0 0 1 1 1 1 2     4  1 1 0 1 1 1 2 1
2017 12 30     2  0 2 0 0 1 1 1 1     1  0 0 0 0 1 1 0 0     3  1 1 1 0 1 1 1 2
2017 12 31     2  0 1 0 0 0 1 2 1     2  0 0 0 0 1 1 1 1     4  1 0 0 0 0 1 2 2
